,Business License,Business Name,Address,City,State,Zip Code,Latitude,Longitude
232,12FOOD-0004,Curt's Cafe,2922 CENTRAL ST,Evanston,IL,60201,42.0643161,-87.7157069
233,17FOOD-0040,Bake Homemade Pizza,2122 CENTRAL ST,Evanston,IL,60201,42.0642364,-87.7031738
234,09FOOD-0406,KinderCare,2014 DEMPSTER ST,Evanston,IL,60202,42.040557,-87.7020335
235,09FOOD-0340,Siam Pasta,809 DEMPSTER ST,Evanston,IL,60201,42.0413707,-87.6826289
236,13FOOD-0031,Leonida's Chocolates,1907 CENTRAL ST,Evanston,IL,60201,42.0644556,-87.6992787
237,09FOOD-0089,Brothers K Coffee House,500 MAIN ST,Evanston,IL,60202,42.0337826,-87.6779315
238,12FOOD-0022,Papa Romeo's Pizza,1168 DODGE AVE,Evanston,IL,60202,42.0404427,-87.6995948
239,17FOOD-0031,7-Eleven #27070C,847 DODGE AVE,Evanston,IL,60202,42.0337087,-87.6988855
240,09FOOD-0170,Siam Splendour,1125 EMERSON ST,Evanston,IL,60201,42.0526391,-87.6871117
241,09FOOD-0062,Hartigan's Ice Cream Shoppe,2909 CENTRAL ST,Evanston,IL,60201,42.0646121,-87.7150498
242,09FOOD-0285,Claire's Korner,1827 EMERSON ST,Evanston,IL,60201,42.0522065,-87.6986565
243,18FOOD-0025,Einstein Bros Bagel,2200 CAMPUS DR,Evanston,IL,60208,42.05719025,-87.67354427098144
244,15FOOD-0024,A Step by Step Learning Academy,1909 HOWARD ST,Evanston,IL,60202,42.0194628,-87.7001266
245,09FOOD-0149,Jewish Reconstructionist Congregation,303 DODGE AVE,Evanston,IL,60202,42.02326805,-87.6990286
246,09FOOD-0387,Beth Emet The Free Synagogue,1224 DEMPSTER ST,Evanston,IL,60202,42.040987650000005,-87.68875700458321
247,09FOOD-0130,Soup At Six,933 CHICAGO AVE,Evanston,IL,60202,42.0348921,-87.67922913179395
248,15FOOD-0020,Peppercorns Kitchen,620 DAVIS ST,Evanston,IL,60201,42.0463406,-87.6808472
249,08FOOD-0189,Old Neighborhood Grill,2902 CENTRAL ST,Evanston,IL,60201,42.0642949,-87.7147555
250,10FOOD-0045,Friendship Baptist Church,2201 FOSTER ST,Evanston,IL,60201,42.05354,-87.7037329
